Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI	W_Context	W_Pos	W_Freq	W_LMI
Hase	25	6.64	2.80	32	2.16	2.71	20	9.20	1.82	4	3	117678	Einzelgänger	NN	26	99.9425814140197	Rennen	NN	62	98.6848538581416	Rausch	NN	30	98.0007359996337	vorstehen	V	22	97.8437993106054	spielen	V	225	97.7834197009287	sterben	V	91	97.6493478717306	hakenschlagend	ADJ	13	97.4519379086169	Eule	NN	27	97.2032123155245	frech	ADJ	38	96.304112906501	aufspringend	ADJ	16	96.0356654765189
Regel	24	5.21	1.59	11	3.18	2.14	16	4.25	2.21	5	1	1170845	anwenden	V	711	996.690664279217	Anstrich	NN	63	99.8132491049701	gebührenpflichtig	ADJ	45	99.1490675277205	allenfalls	ADV	124	99.0010763907106	weniger	ADV	1208	985.471181879328	zeitnah	ADJ	96	98.6787600096199	darstellen	V	558	98.3212851771162	operieren	V	111	98.2439277266393	vergüten	V	57	98.1508943475903	ausbuchen	V	65	98.0099611703179
Nachweis	30	4.93	2.20	29	3.34	3.10	27	4.41	2.66	8	1	211064	Prüfungsunfähigkeit	NN	16	99.7942120275316	Bonität	NN	33	99.6865978483645	handfest	ADJ	39	99.122403499811	Photon	NN	34	99.036275775175	verboten	ADJ	47	98.7619732021879	Fahruntüchtigkeit	NN	20	98.5978311249222	Buchungsbestätigung	NN	23	98.3332021935691	definitiv	ADJ	83	98.1497654531084	Behandlungsfehler	NN	27	98.0503953879058	reproduzierbar	ADJ	30	97.9233876568936
Auffassung	32	6.19	1.45	19	3.16	3.02	21	4.38	3.22	10	1	325978	Gesetzgeber	NN	326	992.491926077183	gänzlich	ADJ	76	99.413462182673	fahren|führen	V	122	99.280847236609	Sozialdemokrat	NN	49	99.1751405273135	vertreten	V	17638	98187.24067077	Freudsch	ADJ	23	98.9270126292811	Abendmahl	NN	40	98.7937416304864	2.	ADV	131	98.7229975278336	sozialistisch	ADJ	66	98.6623442104284	Arbeitsgruppe	NN	70	98.6527304366555
Nachricht	22	5.91	1.51	27	6.48	2.26	27	5.93	3.21	9	4	712486	anzeigen	NN	400	999.028410336387	Wolfsburger	ADJ	216	996.44967658622	reagieren	V	682	996.365905395118	bitten	ADV	594	996.229414280787	Politik	NN	828	992.0336438553	automatisiert	ADJ	61	99.952509111869	Faktum	NN	127	99.8508388212646	handgeschrieben	ADJ	34	99.732399841922	trudeln	V	39	99.5252066346983	Attentat	NN	58	99.2009786768316
Realität	33	6.18	1.98	24	5.67	2.79	25	2.64	2.53	8	4	468333	angesichts	P	491	996.326247821401	Abbildung	NN	423	996.169499806115	umgebend	ADJ	270	995.878380913241	menschlich	ADJ	648	990.488312169266	manipulieren	V	56	99.5960651390318	unbezweifelbar	ADJ	22	99.5030158815357	Remscheid	NE	40	99.2181286922217	wider	P	66	99.1344717380063	heranführen	V	44	99.087485834066	nahe	ADJ	435	980.595267545064
Beurteilung	25	5.12	2.09	25	5.40	2.61	17	4.65	2.47	11	4	204016	endgültig	ADJ	395	998.350076867535	Ergebniss	NN	496	992.706110011441	therapeutisch	ADJ	59	99.7093723636195	Einstufung	NN	36	99.1555055702581	sachkundig	ADJ	34	99.0997909483998	Erfolg	NN	189	99.0547077656529	sozialversicherungsrechtlich	ADJ	156	986.51530631569	beruhend	ADJ	35	98.8581335311493	Gesamtlage	NN	19	98.6392820968264	zurückhaltend	ADJ	46	98.6012693588873
Arbeitsplatz	24	5.54	2.28	19	4.47	2.89	16	6.81	2.14	12	4	533206	indirekt	ADJ	405	995.218617240885	entsprechend	ADJ	1202	992.626604070207	Gleichbehandlung	NN	42	99.9667974163265	hochproduktiv	ADJ	22	99.8809659151643	Mehrzahl	NN	61	99.7877509329865	Ausschreibung	NN	76	99.3549497340532	zusichern	V	44	99.2406526371171	Gewalt	NN	204	99.1862582242814	tausender	ADJ	210	989.053194038568	einsetzen	V	824	987.835936126503
Hierarchie	20	3.10	1.86	21	5.90	3.10	17	5.53	2.65	10	2	52863	synchron	NN	16	99.9250448011515	auflösen	V	41	98.4179349895711	Kontrolle	NN	57	97.7195925223984	patriarchalisch	ADJ	20	95.8116123303582	innerbetrieblich	ADJ	22	95.745269921513	entsprechend	P	39	95.5823858427922	geordnet	ADJ	29	95.4295090826125	Aufbau	NN	51	95.0451633142992	ohne	P	623	942.780260645057	althergebracht	ADJ	21	92.7042801694463
Niere	23	4.78	2.07	19	1.63	2.14	20	8.80	1.64	5	3	89150	Eiweiß	NN	35	99.8920726957715	Giftstoff	NN	25	99.5233359270422	geprüft	ADJ	33	99.1698364902671	geprueft	V	16	99.1072838362227	schallen	V	25	98.8413536596487	Krankheit	NN	74	98.6848122087903	Röntgenuntersuchung	NN	20	98.4021953525742	Leberschaden	NN	19	98.1742164315821	lebenswichtig	ADJ	29	97.8371896487554	verhindern	V	71	97.7765561765418
