Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	W_Context	W_Freq	W_LMI	Avrg_Cosine
Sattel	20	4.80	0.95	22	2.82	2.63	18	9.11	2.40	6	3	97250	Lenker	708	4515.8443852804	Pferd	989	3648.8615255081	Reiter	287	1227.08652608152	Pedal	109	532.850578136932	Freizeit	141	432.185697807485	Fahrrad	133	372.33526741332	Steg	90	367.767757120523	Stütze	79	350.024867092996	Scheibe	125	317.25703340541	Geschirr	80	311.997020961501	0.9022028198647464
Zufall	26	5.50	1.98	23	4.52	2.56	25	5.16	3.68	6	1	289753	Schicksal	1148	4414.8272910854	Glück	1533	4377.13001178565	Kommissar	602	3017.45582120827	Notwendigkeit	650	2299.01971888288	Absicht	626	2082.27492029052	Fügung	183	1002.97372874092	Zufall	344	938.322145623439	Hilfe	671	848.408820764342	Willkür	145	549.873604790405	Chaos	205	543.208001352791	0.9408069498586217
Geschlecht	23	5.22	1.86	24	4.54	2.83	24	6.92	3.08	10	4	266055	Rasse	1680	7651.06486518022	Geschlecht	1624	7205.68746395987	Kategorie	1322	4673.7441121776	Religion	1290	4488.5286109669	Person	1717	3729.83179320727	Gleichheit	613	3102.91527918485	Verhältnis	1085	2927.27461884766	Kampf	1034	2664.54517834034	Mensch	1912	1973.77439506229	Kind	1718	1951.0690484087	0.9493388226271241
Aufstieg	27	7.48	1.70	23	5.96	2.53	28	5.25	2.93	8	4	243450	Fall	3652	9450.41524694687	Ziel	1401	3083.1832428693	Bildung	982	2824.58803086699	Gipfel	573	2298.71184208576	Saison	745	1813.455508015	Richtung	931	1733.58465549325	Mannschaft	784	1679.57864872668	Traum	451	1120.91878559634	Chance	609	1082.50866470477	Weg	717	724.768054466914	0.9481860482424551
Investition	23	5.87	1.71	27	4.33	2.59	24	4.67	3.47	11	1	336269	Bildung	2963	10231.9834938443	Höhe	3104	8696.97515366019	Innovation	1284	4854.20429295943	Forschung	1443	4165.92163388565	Unternehmen	2219	4016.35636633342	Förderung	1085	2915.88461817042	Konsum	623	2325.19312467786	Handel	790	2192.7222411747	Bereich	1546	2128.35258678009	Arbeitsplatz	808	2045.12961327932	0.9506113687737733
Gastgeber	24	6.75	1.51	29	3.28	2.17	19	6.63	2.01	9	3	263188	Führung	2109	7591.15588872632	Tor	2063	6675.9617662679	Gast	2206	6407.83884177206	Spiel	1855	3362.78887203866	Sieg	1011	2831.94339308534	Mannschaft	1081	2539.66371787548	Chance	1049	2315.2534729783	Angriff	741	1964.01560961965	Druck	753	1786.46579903389	Gunst	377	1285.39616786579	0.9277576742275047
Neuerung	28	5.89	2.38	26	4.85	2.57	16	2.69	2.63	8	1	140279	Änderung	1632	6342.52182060076	Verbesserung	1384	5699.24856575709	Veränderung	887	2793.49535933485	Bereich	889	1605.32597265405	Version	579	1417.52487114072	Innovation	275	886.044530632431	Erweiterung	271	841.525877470079	Liste	229	474.431509538055	Vergleich	265	459.877170675305	Überblick	177	431.261008641109	0.9072398501726155
Grammatik	26	4.85	2.31	21	2.43	3.25	24	4.92	3.53	9	1	54075	Syntax	435	3140.37223232782	Sprache	787	2918.01409069556	Übung	254	899.098665213195	Logik	197	873.299565178742	Stil	223	763.201438865305	Ausdruck	206	642.700598492604	Lexikon	124	587.555470617324	Bereich	303	534.65740380932	Kenntnis	177	519.920432062434	Fehler	141	287.207059336334	0.9251315298038681
Flexibilität	30	6.30	2.28	24	4.25	2.35	16	6.25	2.72	12	4	135930	Mobilität	2691	16768.5995837997	Zuverlässigkeit	1299	7786.56468833987	Offenheit	794	4281.65238680098	Sicherheit	1250	3895.40762973146	Qualität	1210	3790.57843083071	Stabilität	564	2589.74247855037	Produktivität	435	2285.03066414483	Transparenz	504	2182.11180515872	Maximum	369	1904.52037279498	Dynamik	427	1868.68233324255	0.9657665621922797
Justiz	29	4.07	2.43	26	5.62	2.91	21	4.19	2.46	6	2	124086	Polizei	6933	37832.4786667924	Politik	2060	7959.69877046798	Verwaltung	1599	7234.54151041532	Unabhängigkeit	1038	5584.62030040324	Mühle	712	3668.45630824736	Bereich	1172	2646.93683468078	Wirtschaft	537	1532.37490877019	Freiheit	362	980.63606130529	Behörde	345	968.274174546173	Direktion	170	958.085678740813	0.909410883449083
