Word	Val_N	Val_M	Val_SD	Ar_N	Ar_M	Ar_SD	Con_N	Con_M	Con_SD	length	Cluster	Freq	Avrg_Cosine
Bote	21	5.90	1.79	28	2.39	2.41	23	7.96	1.99	4	3	45861	0.6025728753859747
Ware	23	4.83	1.53	24	1.88	2.17	19	6.21	3.43	4	1	434929	0.04536574361669988
Küken	23	7.09	2.97	23	3.83	2.82	23	9.30	0.93	5	3	32201	0.2081001904245463
Blume	25	7.36	2.51	23	2.91	2.52	24	8.08	3.43	5	3	227487	0.30466251257819954
Veranlagung	21	5.10	2.17	18	3.56	2.77	31	4.23	3.02	11	1	36451	0.18147797782084957
Flughafen	20	6.25	2.29	25	5.16	3.41	26	9.35	2.02	9	3	448628	0.11842907276032766
Ruine	17	2.82	3.13	24	3.96	2.68	22	8.55	1.71	5	2	89705	0.13351903393016937
Charakter	26	7.23	1.97	19	5.26	2.94	24	4.08	2.57	9	4	704485	0.2057164625199496
Rätsel	26	5.92	1.98	20	5.35	2.54	23	6.17	3.01	6	4	164347	0.06742863913060311
Erzeugung	13	5.69	1.93	22	3.05	2.19	16	4.19	2.88	9	1	71234	0.2650126152345529
Geruch	21	5.00	2.19	32	5.50	2.55	19	6.84	2.97	6	4	154321	0.1963880325622192
Last	25	2.68	1.65	22	4.45	3.39	25	5.52	2.60	4	2	271554	0.05761624526963729
Frost	27	4.00	2.54	23	3.61	2.66	27	8.22	2.36	5	3	58890	0.13980751129883429
Nationalist	24	2.04	1.55	27	7.33	1.90	27	5.56	2.95	11	2	18612	0.0660808691798436
Abbild	27	5.44	1.69	31	3.65	2.60	18	5.94	3.02	6	1	43331	0.48150055160874744
Bewohner	25	5.96	1.54	24	2.13	2.29	19	6.95	2.12	8	3	379468	0.29873838566949973
Besprechung	24	5.33	1.90	21	4.10	2.76	17	6.00	2.76	11	1	72061	0.15593165098278533
Zorn	26	2.77	2.47	25	7.64	2.16	23	6.13	2.99	4	2	89354	0.05532523080763074
Betrag	22	5.41	2.24	18	2.78	3.06	17	5.12	3.12	6	1	351498	0.21867306362571465
Mund	21	7.14	1.62	19	5.05	2.04	26	9.62	1.24	4	3	417344	0.3325060908084429
Umkehrung	22	4.91	1.90	26	2.38	2.35	23	2.83	2.35	9	1	14386	0.0976685560033261
Landung	17	4.76	2.17	19	4.89	2.81	17	7.41	2.35	7	2	71926	0.09252483968693423
Faschist	29	1.66	2.72	23	6.00	3.15	19	7.42	2.29	8	2	26249	0.11100989632857823
Gewehr	27	2.41	2.36	21	5.62	3.04	27	9.11	2.03	6	2	55257	0.3601832507260534
Kampf	21	3.38	2.71	18	7.56	2.31	26	7.54	2.35	5	2	1039584	0.14606905500263762
Verteidigung	24	5.33	2.12	28	6.25	3.27	23	5.13	2.53	12	4	157441	0.0931533095302868
Rundweg	29	6.00	1.69	28	1.57	2.03	23	7.70	2.36	7	3	12842	0.07804526407068241
Vermittlung	24	5.96	1.81	26	2.88	2.69	31	3.48	2.83	11	1	190645	0.1166277134645736
Druck	27	2.59	2.12	20	6.20	2.89	19	6.47	3.06	5	2	844034	0.18577346427385596
